LAV,LAVQ,LAT,LATQ,Father,Mother,Sibling,Granchild,Granparent,Other relative,Non-relative,LAI
0,Living alone,10,Alone,0,0,0,0,0,0,0,100000000
1,Father,20,With single parent,1,0,0,0,0,0,0,201000000
17,Father+Sibling,20,With single parent,1,0,3,0,0,0,0,201030000
2,Mother,20,With single parent,0,2,0,0,0,0,0,200200000
18,Mother+Sibling,20,With single parent,0,2,3,0,0,0,0,200230000
33,Father+Grandaparent,21,With single parent extended,1,0,0,0,5,0,0,211000500
97,Father+Grandaparent+Grandchild,21,With single parent extended,1,0,0,4,5,0,0,211004500
225,Father+Grandaparent+Grandchild+Other relative,21,With single parent extended,1,0,0,4,5,6,0,211004560
161,Father+Grandaparent+Other relative,21,With single parent extended,1,0,0,0,5,6,0,211000560
65,Father+Grandchild,21,With single parent extended,1,0,0,4,0,0,0,211004000
193,Father+Grandchild+Other relative,21,With single parent extended,1,0,0,4,0,6,0,211004060
129,Father+Other relative,21,With single parent extended,1,0,0,0,0,6,0,211000060
49,Father+Sibling+Grandaparent,21,With single parent extended,1,0,3,0,5,0,0,211030500
113,Father+Sibling+Grandaparent+Grandchild,21,With single parent extended,1,0,3,4,5,0,0,211034500
241,Father+Sibling+Grandaparent+Grandchild+Other relative,21,With single parent extended,1,0,3,4,5,6,0,211034560
177,Father+Sibling+Grandaparent+Other relative,21,With single parent extended,1,0,3,0,5,6,0,211030560
81,Father+Sibling+Grandchild,21,With single parent extended,1,0,3,4,0,0,0,211034000
209,Father+Sibling+Grandchild+Other relative,21,With single parent extended,1,0,3,4,0,6,0,211034060
145,Father+Sibling+Other relative,21,With single parent extended,1,0,3,0,0,6,0,211030060
34,Mother+Grandaparent,21,With single parent extended,0,2,0,0,5,0,0,210200500
98,Mother+Grandaparent+Grandchild,21,With single parent extended,0,2,0,4,5,0,0,210204500
226,Mother+Grandaparent+Grandchild+Other relative,21,With single parent extended,0,2,0,4,5,6,0,210204560
162,Mother+Grandaparent+Other relative,21,With single parent extended,0,2,0,0,5,6,0,210200560
66,Mother+Grandchild,21,With single parent extended,0,2,0,4,0,0,0,210204000
